"","Sample","Cluster","Max_Coefficient","Rank"
"set4_10_14752_659_IBC_Ep","set4_10_14752_659_IBC_Ep",2,0.0665705681970474,4
"set4_10_14755_659_DCIS_Ep","set4_10_14755_659_DCIS_Ep",1,0.0804550419863548,4
"set4_10_14757_659_NL_Ep","set4_10_14757_659_NL_Ep",3,0.0729721192319171,4
"set4_10_14791_663_DCIS_Ep","set4_10_14791_663_DCIS_Ep",1,0.0834034170538982,4
"set4_10_14793_663_IBC_Ep","set4_10_14793_663_IBC_Ep",1,0.0812612918920276,4
"set4_10_14795_663_NL_Ep","set4_10_14795_663_NL_Ep",3,0.0817771268105794,4
"set4_10_14759_660_IBC_Ep","set4_10_14759_660_IBC_Ep",2,0.094082464247004,4
"set4_10_14761_660_DCIS_Ep","set4_10_14761_660_DCIS_Ep",2,0.0869765633736277,4
"set4_10_14763_660_NL_Ep","set4_10_14763_660_NL_Ep",3,0.0722092480280084,4
"set4_10_14765_660_LVI_Ep","set4_10_14765_660_LVI_Ep",2,0.0938966034023421,4
"set4_10_14767_661_IBC_Ep","set4_10_14767_661_IBC_Ep",2,0.0977003567953521,4
"set4_10_14769_661_AM_Ep","set4_10_14769_661_AM_Ep",4,0.165451197249888,4
"set4_10_14771_661_ADH_Ep","set4_10_14771_661_ADH_Ep",1,0.107252774044357,4
"set4_10_14773_661_DCIS_Ep","set4_10_14773_661_DCIS_Ep",1,0.107764426756162,4
"set4_10_14775_661_ADH_Ep","set4_10_14775_661_ADH_Ep",1,0.105306322928769,4
"set4_10_14777_661_NL_Ep","set4_10_14777_661_NL_Ep",1,0.112506468418154,4
"set4_10_14779_662_DCIS.1_Ep","set4_10_14779_662_DCIS.1_Ep",2,0.109490857495274,4
"set4_10_14781_662_MIV.1_Ep","set4_10_14781_662_MIV.1_Ep",2,0.111032363500366,4
"set4_10_14783_662_DCIS.2_Ep","set4_10_14783_662_DCIS.2_Ep",2,0.109377953941289,4
"set4_10_14785_662_MIV.2_Ep","set4_10_14785_662_MIV.2_Ep",2,0.110002690500751,4
"set4_10_14787_662_DCIS.3_Ep","set4_10_14787_662_DCIS.3_Ep",2,0.106670308116754,4
"set4_10_14789_662_IBC_Ep","set4_10_14789_662_IBC_Ep",2,0.112027463030817,4
"set4_10_14909_676_DCIS.2_Ep","set4_10_14909_676_DCIS.2_Ep",4,0.138903130327234,4
"set4_10_14797_664_AM_Ep","set4_10_14797_664_AM_Ep",4,0.17434347901616,4
"set4_10_14798_664_BBD_Ep","set4_10_14798_664_BBD_Ep",1,0.0933221884283023,4
"set4_10_14800_664_IBC_Ep","set4_10_14800_664_IBC_Ep",2,0.103679475786602,4
"set4_10_14802_664_ADH_Ep","set4_10_14802_664_ADH_Ep",1,0.0795369251768504,4
"set4_10_14804_664_NL_Ep","set4_10_14804_664_NL_Ep",3,0.102825582993452,4
"set4_10_14805_665_IBC_Ep","set4_10_14805_665_IBC_Ep",2,0.0817918817858318,4
"set4_10_14807_665_inf_NL_Ep","set4_10_14807_665_inf_NL_Ep",3,0.0840122353498284,4
"set4_10_14809_665_DCIS_Ep","set4_10_14809_665_DCIS_Ep",3,0.0772303184911849,4
"set4_10_14810_665_NL_Ep","set4_10_14810_665_NL_Ep",3,0.0707597523757098,4
"set4_10_14812_666_IBC_Ep","set4_10_14812_666_IBC_Ep",2,0.0922371458914326,4
"set4_10_14813_666_DCIS_Ep","set4_10_14813_666_DCIS_Ep",2,0.0684394315693713,4
"set4_10_14816_666_NL_Ep","set4_10_14816_666_NL_Ep",3,0.0740547021527007,4
