Mixture	Myeloid_cell	T_cell	pDC	Fibroblast	Endothelial_cell	B_cell	Cancer_cell	Mast_cell	P-value	Correlation	RMSE
BCRF1_3&EN_13941_568_IBC_Str	0.145827220143392	0.12520237022633	0.0262875549843209	0.661626221683195	0.0341786919301131	0.00323617860860215	0	0.00364176242404665	0	0.95502271321223	0.317691942977241
BCRF1_3&EN_13943_568_DCIS_Str	0.214180141916512	0.0574680935188588	0.0465597704184606	0.511362339164426	0.110258007219012	0.0047419899090747	0.0554296578536563	0	0	0.911281829987237	0.417127950468802
BCRF1_3&EN_13947_570_CCC_Str_1	0.0277800144816948	0.0179166691180105	0	0.584312678479061	0.343001242118283	0.00539428944503612	0.0199081639512912	0.00168694240662337	0	0.909946301102018	0.424039375628168
BCRF1_3&EN_13949_570_IBC_Str	0.15033503635256	0.111709030344457	0.0378870014628412	0.57378836409416	0.0859064207026393	0.00371787968763694	0.036515040462386	0.000141226893319307	0	0.945091007379327	0.328727319170133
BCRF1_3&EN_13951_570_DCIS_Str	0.0798528921574271	0.0141131035915317	0.00896522153618957	0.566759381737475	0.32262989674577	0.00474933042733269	0.00284154961450017	8.86241897734343e-05	0	0.883314392405985	0.476386619254064
BCRF1_3&EN_13953_570_ADH_Str_1	0.0303191623359304	0.00342473535375923	0.00532331003003137	0.391019233193345	0.542211993454353	0.00770256435026558	0.0131617221546865	0.00683727912762856	0	0.360116334752738	1.01370307216052
BCRF1_3&EN_13955_570_NL_Str	0.0343900639959857	0	0	0.579589844764264	0.379582566161138	0.00636039606976206	0	7.71290088509464e-05	0	0.707128312143193	0.761902782763538
BCRF1_3&EN_13957_570_CCC_Str_2	0.105316988453064	0.0713653574768537	0.0172182930225945	0.545973252096242	0.254515083452608	0.00520591742047157	0	0.000405108078166582	0	0.811160721625342	0.594568843844341
BCRF1_3&EN_13959_570_CCH_Str	0.0525310571009039	0.0149740398643291	0.00662035576364077	0.490338001410992	0.411835723951553	0.011271285171188	0.00861742334393101	0.00381211339346131	0	0.623898851527626	0.817611744175901
BCRF1_3&EN_13961_570_ADH_Str_2	0.0528041381993991	0	0	0.618647812139153	0.31210451766666	0.00577813313857335	0.0105486758558807	0.000116723000334054	0	0.731792660336285	0.747060818122724
BCRF1_3&EN_13963_569_IBC_Str	0.266189977244304	0.079871077303272	0.000612257557116355	0.606054693948805	0.0380777233747534	0.00497133065290558	0.00422293991884419	0	0	0.960911759964212	0.281213242713748
BCRF1_3&EN_13965_567_EN_Str	0.0071764984791439	0.0119410688523382	0.024864683997216	0.849272280730687	0.100159180584301	0.00658628735631308	0	0	0	0.920482318579936	0.590040985943775
BCRF1_3&EN_13969_567_DCIS_Str	0.229066718340213	0.24645163546477	0.077677597183118	0.282941551370441	0.145041872684406	0.00898808896815353	0.00410800554926734	0.00572453043963118	0	0.524397659415723	0.851381235559707
BCRF1_3&EN_13971_567_IBC_Str	0.212758391884251	0.0521349133231745	0.0209736062202359	0.630006737297154	0.0809061946893065	0.00314313197207885	0	7.70246137993928e-05	0	0.943524137299961	0.343860285582717
BCRF1_3&EN_13977_565_EN_Str	0.0559492875121135	0	0.000507243293230018	0.732987071553899	0.205994786218732	0.00303717194193664	0	0.00152443948008867	0	0.928378397522148	0.458992555175903
BCRF1_3&EN_13983_561_DCIS_Str	0.15031751985424	0.051741655857054	0.0257829102966047	0.697727653115165	0.0643660794336327	0.00698991437976136	0	0.0030742670635419	0	0.961109576583494	0.323155264674926
BCRF1_3&EN_13985_561_IBC_Str	0.128492912019214	0.0207601676266715	0.00469011258827733	0.798429312193704	0.043670764210976	0.00395673136115807	0	0	0	0.95218698349836	0.448801125057661
BCRF1_3&EN_13988_562_DCIS_Str_1	0.196023503649367	0.0846356827487009	0.0416662339633985	0.447954704830166	0.207757711975446	0.00539966352913906	0.0150577149985691	0.00150478430521245	0	0.805829770962133	0.594081054258407
BCRF1_3&EN_13992_562_DCIS_Str_2	0.155188938976368	0.0800125124451734	0.0180259657311804	0.576216727953685	0.166180081368518	0.00437577352507515	0	0	0	0.956749514078372	0.293577031635906
BCRF1_3&EN_13994_562_NL_Str_2	0.150518271000215	0.00823150423720921	0.0134842744866086	0.483289952787977	0.325606558052565	0.00499555376448166	0.0138738856709431	0	0	0.547775608496457	0.886279371141407
